func_code,assignment_id,func_name,description,test,correct,user,academic_year,normalized,representative,repair,submission_id,repair_correctness
"def swap_unique_keys_values(d):
    val = list(d.values())
    for char in val:
        if char.count() > 1:
            del val[char]
    dic = {}
    for key in d:
        value = d[key]
        dic[value] = key
    new_dic = {}",swap_unique_keys_values,swap_unique_keys_values,Swap the keys of a dictionary with its unique values.,"assert swap_unique_keys_values({})=={} and swap_unique_keys_values({'1': 'a'})=={'a': '1'} and swap_unique_keys_values({'1': 'a', '2': 'b', '3': 'c', '4': 'd'})=={'a': '1', 'b': '2', 'c': '3', 'd': '4'} and swap_unique_keys_values({'1': 'a', '2': 'b', '3': 'a'})=={'b': '2'}",False,dcc424e7-96ab-4451-ad16-597d84c13c2e,2017.0,"Module(body=[FunctionDef(name='swap_unique_keys_values', args=arguments(posonlyargs=[], args=[arg(arg='x_0')], kwonlyargs=[], kw_defaults=[], defaults=[]), body=[Assign(targets=[Name(id='x_1', ctx=Store())], value=Call(func=Name(id='list', ctx=Load()), args=[Call(func=Attribute(value=Name(id='x_0', ctx=Load()), attr='values', ctx=Load()), args=[], keywords=[])], keywords=[])), For(target=Name(id='x_2', ctx=Store()), iter=Name(id='x_1', ctx=Load()), body=[If(test=Compare(left=Call(func=Attribute(value=Name(id='x_2', ctx=Load()), attr='count', ctx=Load()), args=[], keywords=[]), ops=[Gt()], comparators=[Constant(value=1)]), body=[Delete(targets=[Subscript(value=Name(id='x_1', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Del())])], orelse=[])], orelse=[]), Assign(targets=[Name(id='x_3', ctx=Store())], value=Dict(keys=[], values=[])), For(target=Name(id='x_4', ctx=Store()), iter=Name(id='x_0', ctx=Load()), body=[Assign(targets=[Name(id='x_5', ctx=Store())], value=Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_4', ctx=Load()), ctx=Load())), Assign(targets=[Subscript(value=Name(id='x_3', ctx=Load()), slice=Name(id='x_5', ctx=Load()), ctx=Store())], value=Name(id='x_4', ctx=Load()))], orelse=[]), Assign(targets=[Name(id='x_6', ctx=Store())], value=Dict(keys=[], values=[]))], decorator_list=[])], type_ignores=[])","def swap_unique_keys_values(d):
    val = list(d.values())
    for char in val:
        if char.count() > 1:
            del val[char]
    dic = {}
    for key in d:
        value = d[key]
        dic[value] = key
    new_dic = {}","def swap_unique_keys_values(d):
    n_d = {}
    dup = []
    for k in d:
        if d[k] in n_d:
            dup.append(d[k])
        n_d[d[k]] = k
    for x in dup:
        n_d.pop(x)
    return n_d",30,True
"def union(a, b):
    i = 0
    while i < len(a + b):
        if a[i] not in seena:
            sys.stdout.write(a[i])
            seen[a[i]] = True
        elif b[i] not in seenb:
            sys.stdout.wrtie(b[i])
            seen[b[i]] = True
        i = i + 1",union,union,Merge two lists into a single one.,"assert union([],[])==[] and union([25785],[25785])==[25785] and union([-90, 21135, 29310, -8059, 7114, -90, -5808, 1333, -18691, 7, -19450, 67745575129021321678860432754396203799, -9288, -161403197171354040520992237328119268342, 49, 120528818203287557, 133011337445419463191476642795673848676, 11952, 11996],[5, -9316, 7379237229304681733])==[-90, 21135, 29310, -8059, 7114, -5808, 1333, -18691, 7, -19450, 67745575129021321678860432754396203799, -9288, -161403197171354040520992237328119268342, 49, 120528818203287557, 133011337445419463191476642795673848676, 11952, 11996, 5, -9316, 7379237229304681733]",False,2a5e3eed-41c7-46e6-9bee-3acc21c1f81b,2017.0,"Module(body=[FunctionDef(name='union', args=arguments(posonlyargs=[], args=[arg(arg='x_0'), arg(arg='x_1')], kwonlyargs=[], kw_defaults=[], defaults=[]), body=[Assign(targets=[Name(id='x_2', ctx=Store())], value=Constant(value=0)), While(test=Compare(left=Name(id='x_2', ctx=Load()), ops=[Lt()], comparators=[Call(func=Name(id='len', ctx=Load()), args=[BinOp(left=Name(id='x_0', ctx=Load()), op=Add(), right=Name(id='x_1', ctx=Load()))], keywords=[])]), body=[If(test=Compare(left=Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load()), ops=[NotIn()], comparators=[Name(id='seena', ctx=Load())]), body=[Expr(value=Call(func=Attribute(value=Attribute(value=Name(id='sys', ctx=Load()), attr='stdout', ctx=Load()), attr='write', ctx=Load()), args=[Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load())], keywords=[])), Assign(targets=[Subscript(value=Name(id='seen', ctx=Load()), slice=Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load()), ctx=Store())], value=Constant(value=True))], orelse=[If(test=Compare(left=Subscript(value=Name(id='x_1', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load()), ops=[NotIn()], comparators=[Name(id='seenb', ctx=Load())]), body=[Expr(value=Call(func=Attribute(value=Attribute(value=Name(id='sys', ctx=Load()), attr='stdout', ctx=Load()), attr='wrtie', ctx=Load()), args=[Subscript(value=Name(id='x_1', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load())], keywords=[])), Assign(targets=[Subscript(value=Name(id='seen', ctx=Load()), slice=Subscript(value=Name(id='x_1', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load()), ctx=Store())], value=Constant(value=True))], orelse=[])]), Assign(targets=[Name(id='x_2', ctx=Store())], value=BinOp(left=Name(id='x_2', ctx=Load()), op=Add(), right=Constant(value=1)))], orelse=[])], decorator_list=[])], type_ignores=[])","def union(a, b):
    i = 0
    while i < len(a + b):
        if a[i] not in seena:
            sys.stdout.write(a[i])
            seen[a[i]] = True
        elif b[i] not in seenb:
            sys.stdout.wrtie(b[i])
            seen[b[i]] = True
        i = i + 1","def union(a, b):
    a = a + b
    seen = {}
    c = []
    i = 0
    while i < len(a):
        if a[i] not in seen:
            c.append(a[i])
            seen[a[i]] = True
        elif False:
            0
        i = i + 1
    return c",31,True
"def swap_unique_keys_values(d):
    unique = []
    for k in d:
        if d[k] not in unique:
            unique.append(d[k])
        elif d[k] in unique:
            unique.remove(d[k])
    opposite = {}
    for k in d:
        if k in unique:
            opposite[d[k]] = k
    return opposite",swap_unique_keys_values,swap_unique_keys_values,Swap the keys of a dictionary with its unique values.,"assert swap_unique_keys_values({})=={} and swap_unique_keys_values({'1': 'a'})=={'a': '1'} and swap_unique_keys_values({'1': 'a', '2': 'b', '3': 'c', '4': 'd'})=={'a': '1', 'b': '2', 'c': '3', 'd': '4'} and swap_unique_keys_values({'1': 'a', '2': 'b', '3': 'a'})=={'b': '2'}",False,14e87307-1c4a-4225-9151-a02ef086f467,2017.0,"Module(body=[FunctionDef(name='swap_unique_keys_values', args=arguments(posonlyargs=[], args=[arg(arg='x_0')], kwonlyargs=[], kw_defaults=[], defaults=[]), body=[Assign(targets=[Name(id='x_1', ctx=Store())], value=List(elts=[], ctx=Load())), For(target=Name(id='x_2', ctx=Store()), iter=Name(id='x_0', ctx=Load()), body=[If(test=Compare(left=Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load()), ops=[NotIn()], comparators=[Name(id='x_1', ctx=Load())]), body=[Expr(value=Call(func=Attribute(value=Name(id='x_1', ctx=Load()), attr='append', ctx=Load()), args=[Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load())], keywords=[]))], orelse=[If(test=Compare(left=Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load()), ops=[In()], comparators=[Name(id='x_1', ctx=Load())]), body=[Expr(value=Call(func=Attribute(value=Name(id='x_1', ctx=Load()), attr='remove', ctx=Load()), args=[Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load())], keywords=[]))], orelse=[])])], orelse=[]), Assign(targets=[Name(id='x_3', ctx=Store())], value=Dict(keys=[], values=[])), For(target=Name(id='x_2', ctx=Store()), iter=Name(id='x_0', ctx=Load()), body=[If(test=Compare(left=Name(id='x_2', ctx=Load()), ops=[In()], comparators=[Name(id='x_1', ctx=Load())]), body=[Assign(targets=[Subscript(value=Name(id='x_3', ctx=Load()), slice=Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load()), ctx=Store())], value=Name(id='x_2', ctx=Load()))], orelse=[])], orelse=[]), Return(value=Name(id='x_3', ctx=Load()))], decorator_list=[])], type_ignores=[])","def swap_unique_keys_values(d):
    unique = []
    for k in d:
        if d[k] not in unique:
            unique.append(d[k])
        elif d[k] in unique:
            unique.remove(d[k])
    opposite = {}
    for k in d:
        if k in unique:
            opposite[d[k]] = k
    return opposite","def swap_unique_keys_values(d):
    a = [v for k, v in list(d.items())]
    for i in a:
        if 1 < a.count(i):
            a = [j for j in a if j != i]
        elif False:
            0
    e = {}
    for k, v in list(d.items()):
        if v in a:
            e[v] = k
    return e",72,True
"def index(str, letter):
    i = 0
    while i < len(str):
        if str[i] == letter:
            print(i)
        else:
            i += 1
    print('-1')",index_iter,index,"Iteratively search for the position of letter in str, return -1 if it is not there.","assert index('','0')==-1 and index('0','0')==0 and index('11','1')==0",False,5ba5010e-c0ac-4560-9fa6-aadbc278c3f8,2017.0,"Module(body=[FunctionDef(name='index', args=arguments(posonlyargs=[], args=[arg(arg='x_0'), arg(arg='x_1')], kwonlyargs=[], kw_defaults=[], defaults=[]), body=[Assign(targets=[Name(id='x_2', ctx=Store())], value=Constant(value=0)), While(test=Compare(left=Name(id='x_2', ctx=Load()), ops=[Lt()], comparators=[Call(func=Name(id='len', ctx=Load()), args=[Name(id='x_0', ctx=Load())], keywords=[])]), body=[If(test=Compare(left=Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load()), ops=[Eq()], comparators=[Name(id='x_1', ctx=Load())]), body=[Expr(value=Call(func=Name(id='print', ctx=Load()), args=[Name(id='x_2', ctx=Load())], keywords=[]))], orelse=[AugAssign(target=Name(id='x_2', ctx=Store()), op=Add(), value=Constant(value=1))])], orelse=[]), Expr(value=Call(func=Name(id='print', ctx=Load()), args=[Constant(value='-1')], keywords=[]))], decorator_list=[])], type_ignores=[])","def index(str, letter):
    i = 0
    while i < len(str):
        if str[i] == letter:
            print(i)
        else:
            i += 1
    print('-1')","def index(str, letter):
    i = 0
    while i < len(str):
        if letter == str[i]:
            return i
        else:
            i = i + 1
    return -1",195,True
"def union(a, b):
    un = {}
    i = 0
    while i < len(a):
        un[a[i]] = True
        i = i + 1
    h = 0
    while i < len(b):
        un[b[h]] = True
        h = h + 1
    print(un)",union,union,Merge two lists into a single one.,"assert union([],[])==[] and union([25785],[25785])==[25785] and union([-90, 21135, 29310, -8059, 7114, -90, -5808, 1333, -18691, 7, -19450, 67745575129021321678860432754396203799, -9288, -161403197171354040520992237328119268342, 49, 120528818203287557, 133011337445419463191476642795673848676, 11952, 11996],[5, -9316, 7379237229304681733])==[-90, 21135, 29310, -8059, 7114, -5808, 1333, -18691, 7, -19450, 67745575129021321678860432754396203799, -9288, -161403197171354040520992237328119268342, 49, 120528818203287557, 133011337445419463191476642795673848676, 11952, 11996, 5, -9316, 7379237229304681733]",False,3aed57e0-c2a2-49b2-afaf-23d3d77478fb,2017.0,"Module(body=[FunctionDef(name='union', args=arguments(posonlyargs=[], args=[arg(arg='x_0'), arg(arg='x_1')], kwonlyargs=[], kw_defaults=[], defaults=[]), body=[Assign(targets=[Name(id='x_2', ctx=Store())], value=Dict(keys=[], values=[])), Assign(targets=[Name(id='x_3', ctx=Store())], value=Constant(value=0)), While(test=Compare(left=Name(id='x_3', ctx=Load()), ops=[Lt()], comparators=[Call(func=Name(id='len', ctx=Load()), args=[Name(id='x_0', ctx=Load())], keywords=[])]), body=[Assign(targets=[Subscript(value=Name(id='x_2', ctx=Load()), slice=Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_3', ctx=Load()), ctx=Load()), ctx=Store())], value=Constant(value=True)), Assign(targets=[Name(id='x_3', ctx=Store())], value=BinOp(left=Name(id='x_3', ctx=Load()), op=Add(), right=Constant(value=1)))], orelse=[]), Assign(targets=[Name(id='x_4', ctx=Store())], value=Constant(value=0)), While(test=Compare(left=Name(id='x_3', ctx=Load()), ops=[Lt()], comparators=[Call(func=Name(id='len', ctx=Load()), args=[Name(id='x_1', ctx=Load())], keywords=[])]), body=[Assign(targets=[Subscript(value=Name(id='x_2', ctx=Load()), slice=Subscript(value=Name(id='x_1', ctx=Load()), slice=Name(id='x_4', ctx=Load()), ctx=Load()), ctx=Store())], value=Constant(value=True)), Assign(targets=[Name(id='x_4', ctx=Store())], value=BinOp(left=Name(id='x_4', ctx=Load()), op=Add(), right=Constant(value=1)))], orelse=[]), Expr(value=Call(func=Name(id='print', ctx=Load()), args=[Name(id='x_2', ctx=Load())], keywords=[]))], decorator_list=[])], type_ignores=[])","def union(a, b):
    un = {}
    i = 0
    while i < len(a):
        un[a[i]] = True
        i = i + 1
    h = 0
    while i < len(b):
        un[b[h]] = True
        h = h + 1
    print(un)","def union(a, b):
    a = a + b
    seen = {}
    c = []
    i = 0
    while i < len(a):
        if a[i] not in seen:
            c.append(a[i])
            if False:
                0
            else:
                0
            seen[a[i]] = True
        i = i + 1
    return c",211,True
"def reverse_list(l):
    if len[l] == 0:
        return l
    return l[-1:] + reverse_list(l[:-1])",reverse_recur,reverse_list,Recursively reverse a list of elements.,"assert reverse_list([])==[] and reverse_list([0])==[0] and reverse_list([9650, 12103, -1947378123, -109345868112896702250879906349988323457, 85, -74, -10050, 787, -3])==[-3, 787, -10050, -74, 85, -109345868112896702250879906349988323457, -1947378123, 12103, 9650] and reverse_list([9650, 12103, -1947378123, -109345868112896702250879906349988323457])==[-109345868112896702250879906349988323457, -1947378123, 12103, 9650] and reverse_list([0, 0])==[0, 0] and reverse_list([85, -74, -10050, 787, 9650, 12103, -1947378123, -109345868112896702250879906349988323457, -3])==[-3, -109345868112896702250879906349988323457, -1947378123, 12103, 9650, 787, -10050, -74, 85] and reverse_list([85, -74, -10050, 787, -3, 9650, 12103, -1947378123, -109345868112896702250879906349988323457])==[-109345868112896702250879906349988323457, -1947378123, 12103, 9650, -3, 787, -10050, -74, 85]",False,2b5f9b04-bd61-4108-b289-84a2c1002a82,2017.0,"Module(body=[FunctionDef(name='reverse_list', args=arguments(posonlyargs=[], args=[arg(arg='x_0')], kwonlyargs=[], kw_defaults=[], defaults=[]), body=[If(test=Compare(left=Subscript(value=Name(id='len', ctx=Load()), slice=Name(id='x_0', ctx=Load()), ctx=Load()), ops=[Eq()], comparators=[Constant(value=0)]), body=[Return(value=Name(id='x_0', ctx=Load()))], orelse=[]), Return(value=BinOp(left=Subscript(value=Name(id='x_0', ctx=Load()), slice=Slice(lower=UnaryOp(op=USub(), operand=Constant(value=1))), ctx=Load()), op=Add(), right=Call(func=Name(id='reverse_list', ctx=Load()), args=[Subscript(value=Name(id='x_0', ctx=Load()), slice=Slice(upper=UnaryOp(op=USub(), operand=Constant(value=1))), ctx=Load())], keywords=[])))], decorator_list=[])], type_ignores=[])","def reverse_list(l):
    if len[l] == 0:
        return l
    return l[-1:] + reverse_list(l[:-1])","def reverse_list(l):
    if l == []:
        return l
    return l[-1:] + reverse_list(l[:-1])",215,True
"def minimum(l):
    mini = 0
    i = 0
    while i < len(l):
        if int(l[i]) <= mini:
            mini = int(l[i])
        i = i + 1
    return l[i]",minimum,minimum,Return the minimum element in a list of numbers.,"assert minimum([0])==0 and minimum([2, 10, 23, 9, 187])==2 and minimum([-2, -26, 7, -123, -1236521])==-1236521 and minimum([3896, 3673, 45, 16715, 23673])==45",False,9dea5530-0f82-4127-b25f-20c784224a03,2017.0,"Module(body=[FunctionDef(name='minimum', args=arguments(posonlyargs=[], args=[arg(arg='x_0')], kwonlyargs=[], kw_defaults=[], defaults=[]), body=[Assign(targets=[Name(id='x_1', ctx=Store())], value=Constant(value=0)), Assign(targets=[Name(id='x_2', ctx=Store())], value=Constant(value=0)), While(test=Compare(left=Name(id='x_2', ctx=Load()), ops=[Lt()], comparators=[Call(func=Name(id='len', ctx=Load()), args=[Name(id='x_0', ctx=Load())], keywords=[])]), body=[If(test=Compare(left=Call(func=Name(id='int', ctx=Load()), args=[Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load())], keywords=[]), ops=[LtE()], comparators=[Name(id='x_1', ctx=Load())]), body=[Assign(targets=[Name(id='x_1', ctx=Store())], value=Call(func=Name(id='int', ctx=Load()), args=[Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load())], keywords=[]))], orelse=[]), Assign(targets=[Name(id='x_2', ctx=Store())], value=BinOp(left=Name(id='x_2', ctx=Load()), op=Add(), right=Constant(value=1)))], orelse=[]), Return(value=Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load()))], decorator_list=[])], type_ignores=[])","def minimum(l):
    mini = 0
    i = 0
    while i < len(l):
        if int(l[i]) <= mini:
            mini = int(l[i])
        i = i + 1
    return l[i]","def minimum(a):
    i = 1
    s = a[0]
    while i < len(a):
        if s > a[i]:
            s = a[i]
        i = i + 1
    return s",221,True
"def merge_lists(l1, l2):
    i = 0
    k = 0
    l3 = []
    while i < len(l1):
        l3.append(l1[k])
        if len(l1) > 2:
            k = k + 2
    i = 0
    k = 0
    while i < len(l2):
        l3.append(l2[k])
        if len(l2) > 2:
            k = k + 2",merge_lists,merge_lists,Take two lists l1 and l2 and return a third list which contains every second element of l1 and l2.,"assert merge_lists([],[])==[] and merge_lists([],[1, 2, 3, 4])==[1, 3] and merge_lists([1, 2, 3, 4],[])==[1, 3] and merge_lists([10, 20, 45, 2, -10987, 89165],[9, 0, -6754, 5625264, 8765])==[10, 45, -10987, 9, -6754, 8765]",False,557b99ed-3c48-4070-b887-de4b2d06ac8d,2017.0,"Module(body=[FunctionDef(name='merge_lists', args=arguments(posonlyargs=[], args=[arg(arg='x_0'), arg(arg='x_1')], kwonlyargs=[], kw_defaults=[], defaults=[]), body=[Assign(targets=[Name(id='x_2', ctx=Store())], value=Constant(value=0)), Assign(targets=[Name(id='x_3', ctx=Store())], value=Constant(value=0)), Assign(targets=[Name(id='x_4', ctx=Store())], value=List(elts=[], ctx=Load())), While(test=Compare(left=Name(id='x_2', ctx=Load()), ops=[Lt()], comparators=[Call(func=Name(id='len', ctx=Load()), args=[Name(id='x_0', ctx=Load())], keywords=[])]), body=[Expr(value=Call(func=Attribute(value=Name(id='x_4', ctx=Load()), attr='append', ctx=Load()), args=[Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_3', ctx=Load()), ctx=Load())], keywords=[])), If(test=Compare(left=Call(func=Name(id='len', ctx=Load()), args=[Name(id='x_0', ctx=Load())], keywords=[]), ops=[Gt()], comparators=[Constant(value=2)]), body=[Assign(targets=[Name(id='x_3', ctx=Store())], value=BinOp(left=Name(id='x_3', ctx=Load()), op=Add(), right=Constant(value=2)))], orelse=[])], orelse=[]), Assign(targets=[Name(id='x_2', ctx=Store())], value=Constant(value=0)), Assign(targets=[Name(id='x_3', ctx=Store())], value=Constant(value=0)), While(test=Compare(left=Name(id='x_2', ctx=Load()), ops=[Lt()], comparators=[Call(func=Name(id='len', ctx=Load()), args=[Name(id='x_1', ctx=Load())], keywords=[])]), body=[Expr(value=Call(func=Attribute(value=Name(id='x_4', ctx=Load()), attr='append', ctx=Load()), args=[Subscript(value=Name(id='x_1', ctx=Load()), slice=Name(id='x_3', ctx=Load()), ctx=Load())], keywords=[])), If(test=Compare(left=Call(func=Name(id='len', ctx=Load()), args=[Name(id='x_1', ctx=Load())], keywords=[]), ops=[Gt()], comparators=[Constant(value=2)]), body=[Assign(targets=[Name(id='x_3', ctx=Store())], value=BinOp(left=Name(id='x_3', ctx=Load()), op=Add(), right=Constant(value=2)))], orelse=[])], orelse=[])], decorator_list=[])], type_ignores=[])","def merge_lists(l1, l2):
    i = 0
    k = 0
    l3 = []
    while i < len(l1):
        l3.append(l1[k])
        if len(l1) > 2:
            k = k + 2
    i = 0
    k = 0
    while i < len(l2):
        l3.append(l2[k])
        if len(l2) > 2:
            k = k + 2","def merge_lists(l1, l2):
    l3 = []
    i = 0
    while i < len(l1):
        if True:
            l3.append(l1[i])
            i += 2
    i = 0
    while i < len(l2):
        l3.append(l2[i])
        if False:
            0
        i += 2
    return l3",281,True
"def index(str, letter, pos):
    if pos == len(str):
        return 'False'
    elif str[pos] == letter:
        return 'True'
    else:
        return index(str, letter, pos + 1)",index_recur,index,"Recursively search for the position of letter in str, return -1 if it is not there.","assert index('','0',0)==-1 and index('0','0',0)==0 and index('a','8',0)==-1 and index('tV2','2',0)==2",False,e380b6f8-84c6-4978-a85b-78c22ace6b9b,2017.0,"Module(body=[FunctionDef(name='index', args=arguments(posonlyargs=[], args=[arg(arg='x_0'), arg(arg='x_1'), arg(arg='x_2')], kwonlyargs=[], kw_defaults=[], defaults=[]), body=[If(test=Compare(left=Name(id='x_2', ctx=Load()), ops=[Eq()], comparators=[Call(func=Name(id='len', ctx=Load()), args=[Name(id='x_0', ctx=Load())], keywords=[])]), body=[Return(value=Constant(value='False'))], orelse=[If(test=Compare(left=Subscript(value=Name(id='x_0', ctx=Load()), slice=Name(id='x_2', ctx=Load()), ctx=Load()), ops=[Eq()], comparators=[Name(id='x_1', ctx=Load())]), body=[Return(value=Constant(value='True'))], orelse=[Return(value=Call(func=Name(id='index', ctx=Load()), args=[Name(id='x_0', ctx=Load()), Name(id='x_1', ctx=Load()), BinOp(left=Name(id='x_2', ctx=Load()), op=Add(), right=Constant(value=1))], keywords=[]))])])], decorator_list=[])], type_ignores=[])","def index(str, letter, pos):
    if pos == len(str):
        return 'False'
    elif str[pos] == letter:
        return 'True'
    else:
        return index(str, letter, pos + 1)","def index(str, letter, pos):
    if pos == len(str):
        return -1
    elif str[pos] == letter:
        return pos
    else:
        return index(str, letter, pos + 1)",301,True
"def remove_zeros(list):
    for i in list:
        if i == 0:
            list.remove[i]
    return list",remove_zeros,remove_zeros,Take a list of numbers and removes the zeros from it.,"assert remove_zeros([])==None and remove_zeros([])==None and remove_zeros([5202, -24344, -6528])==None and remove_zeros([5202, -24344, -6528])==None",False,03141ef3-f364-4b7c-9f52-990a173ac162,2017.0,"Module(body=[FunctionDef(name='remove_zeros', args=arguments(posonlyargs=[], args=[arg(arg='x_0')], kwonlyargs=[], kw_defaults=[], defaults=[]), body=[For(target=Name(id='x_1', ctx=Store()), iter=Name(id='x_0', ctx=Load()), body=[If(test=Compare(left=Name(id='x_1', ctx=Load()), ops=[Eq()], comparators=[Constant(value=0)]), body=[Expr(value=Subscript(value=Attribute(value=Name(id='x_0', ctx=Load()), attr='remove', ctx=Load()), slice=Name(id='x_1', ctx=Load()), ctx=Load()))], orelse=[])], orelse=[]), Return(value=Name(id='x_0', ctx=Load()))], decorator_list=[])], type_ignores=[])","def remove_zeros(list):
    for i in list:
        if i == 0:
            list.remove[i]
    return list","def remove_zeros(list):
    while True:
        if not 0 in list:
            if False:
                0
            break
        list.remove(0)",312,True
